"input_gene","RNA_assay","SCT_assay"
"Myb","Myb","Myb"
"Hbs1l","Hbs1l","Hbs1l"
"Ptprk","Ptprk","Ptprk"
"Lama2","Lama2","Lama2"
"Arhgap18","Arhgap18","Arhgap18"
"L3mbtl3","L3mbtl3","L3mbtl3"
"Samd3","Samd3",NA
"Tmem200a","Tmem200a","Tmem200a"
"Epb41l2","Epb41l2","Epb41l2"
"Akap7","Akap7","Akap7"
"Arg1","Arg1","Arg1"
"Med23","Med23","Med23"
"Enpp3","Enpp3","Enpp3"
"Enpp1","Enpp1","Enpp1"
"Ccn2","Ccn2","Ccn2"
"Moxd1","Moxd1","Moxd1"
"Stx7","Stx7","Stx7"
"Vnn1","Vnn1","Vnn1"
"Slc18b1","Slc18b1","Slc18b1"
"Eya4","Eya4","Eya4"
"Tcf21","Tcf21","Tcf21"
"Slc2a12","Slc2a12","Slc2a12"
"Sgk1","Sgk1","Sgk1"
"LOC108349468","1700020N01Rik","1700020N01Rik"
"Clvs2","Clvs2","Clvs2"
"Trdn","Trdn","Trdn"
"Nkain2","Nkain2","Nkain2"
"Rnf217","Rnf217","Rnf217"
"Tpd52l1","Tpd52l1","Tpd52l1"
"Hddc2","Hddc2","Hddc2"
"Hey2","Hey2","Hey2"
"Ncoa7","Ncoa7","Ncoa7"
"Hint3","Hint3","Hint3"
"Trmt11","Trmt11","Trmt11"
"Cenpw","Cenpw","Cenpw"
"Rspo3","Rspo3","Rspo3"
"Rnf146","Rnf146","Rnf146"
"Echdc1","Echdc1","Echdc1"
"Kiaa0408L","9330159F19Rik","9330159F19Rik"
"Soga3","Soga3","Soga3"
"Lrrc14b","Lrrc14b","Lrrc14b"
"Ccdc127","Ccdc127","Ccdc127"
"Sdha","Sdha","Sdha"
"Pdcd6","Pdcd6","Pdcd6"
"Ahrr","Ahrr","Ahrr"
"Exoc3","Exoc3","Exoc3"
"Slc9a3","Slc9a3","Slc9a3"
"Cep72","Cep72","Cep72"
"Tppp","Tppp","Tppp"
"Zdhhc11","Zdhhc11",NA
"Brd9","Brd9","Brd9"
"Trip13","Trip13","Trip13"
"Nkd2","Nkd2","Nkd2"
"Slc12a7","Slc12a7","Slc12a7"
"Tert","Tert","Tert"
"Clptm1l","Clptm1l","Clptm1l"
"Lpcat1","Lpcat1","Lpcat1"
"Mrpl36","Mrpl36","Mrpl36"
"Irx4","Irx4","Irx4"
"Irx2","Irx2","Irx2"
"Irx1","Irx1","Irx1"
"Adamts16","Adamts16","Adamts16"
"Ice1","Ice1","Ice1"
"Ube2ql1","Ube2ql1","Ube2ql1"
"Nsun2","Nsun2","Nsun2"
"Srd5a1","Srd5a1","Srd5a1"
"Tent4a","Tent4a","Tent4a"
"Adcy2","Adcy2","Adcy2"
"RGD1308544","Cfap90","Cfap90"
"Fastkd3","Fastkd3","Fastkd3"
"Mtrr","Mtrr","Mtrr"
"LOC102547287","Zfp87","Zfp87"
"LOC102549842","Zfp748","Zfp748"
"Zfp748","Zfp729b","Zfp729b"
"LOC102551340","Zfp729a","Zfp729a"
"Ppp1r14c","Ppp1r14c","Ppp1r14c"
"Iyd","Iyd","Iyd"
"Plekhg1","Plekhg1","Plekhg1"
"Mthfd1l","Mthfd1l","Mthfd1l"
"Akap12","Akap12","Akap12"
"Zbtb2","Zbtb2","Zbtb2"
"Rmnd1","Rmnd1","Rmnd1"
"Armt1","Armt1","Armt1"
"Ccdc170","Ccdc170","Ccdc170"
"Esr1","Esr1","Esr1"
"Syne1","Syne1","Syne1"
"Myct1","Myct1","Myct1"
"Vip","Vip","Vip"
"Fbxo5","Fbxo5","Fbxo5"
"Mtrf1l","Mtrf1l","Mtrf1l"
"Rgs17","Rgs17","Rgs17"
"Oprm1","Oprm1","Oprm1"
"Ipcef1","Ipcef1","Ipcef1"
"Cnksr3","Cnksr3","Cnksr3"
"Scaf8","Scaf8","Scaf8"
"Tiam2","Tiam2","Tiam2"
"Tfb1m","Tfb1m","Tfb1m"
"Nox3","Nox3","Nox3"
"Arid1b","Arid1b","Arid1b"
"Tmem242","Tmem242","Tmem242"
"Zdhhc14","Zdhhc14","Zdhhc14"
"Snx9","Snx9","Snx9"
"Synj2","Synj2","Synj2"
"Serac1","Serac1","Serac1"
"Gtf2h5","Gtf2h5","Gtf2h5"
"Tulp4","Tulp4","Tulp4"
"Tmem181","Tmem181a","Tmem181a"
"Sytl3","Sytl3","Sytl3"
"Ezr","Ezr","Ezr"
"Fndc1","Fndc1","Fndc1"
"Sod2","Sod2","Sod2"
"Wtap","Wtap","Wtap"
"Tcp1","Tcp1","Tcp1"
"Mrpl18","Mrpl18","Mrpl18"
"Pnldc1","Pnldc1","Pnldc1"
"Mas1","Mas1","Mas1"
"Igf2r","Igf2r","Igf2r"
"Slc22a1","Slc22a1","Slc22a1"
"Slc22a2","Slc22a2","Slc22a2"
"Slc22a3","Slc22a3","Slc22a3"
"Plg","Plg","Plg"
"Map3k4","Map3k4","Map3k4"
"Agpat4","Agpat4","Agpat4"
"Prkn","Prkn","Prkn"
"Pacrg","Pacrg","Pacrg"
"MGC94891","1700010I14Rik","1700010I14Rik"
"Pde10a","Pde10a","Pde10a"
"Tbxt","T","T"
"T2","T2","T2"
"Prr18","Prr18","Prr18"
"Mpc1","Mpc1","Mpc1"
"Ccr6","Ccr6","Ccr6"
"Cep43","Cep43","Cep43"
"Rps6ka2","Rps6ka2","Rps6ka2"
"Ttll2","Ttll2","Ttll2"
"Afdn","Afdn","Afdn"
"Dact2","Dact2","Dact2"
"Smoc2","Smoc2","Smoc2"
"Thbs2","Thbs2","Thbs2"
"Wdr27","Wdr27","Wdr27"
"LOC100125364","1600012H06Rik","1600012H06Rik"
"Phf10","Phf10","Phf10"
"Dll1","Dll1","Dll1"
"Fam120b","Fam120b","Fam120b"
"Psmb1","Psmb1","Psmb1"
"Tbp","Tbp","Tbp"
"Pdcd2","Pdcd2","Pdcd2"
"Prdm9","Prdm9","Prdm9"
"Chd1","Chd1","Chd1"
"Rgmb","Rgmb","Rgmb"
"Riok2","Riok2","Riok2"
"Lix1","Lix1","Lix1"
"Lnpep","Lnpep","Lnpep"
"Spaca6","Spaca6","Spaca6"
"Has1","Has1","Has1"
"Ppp2r1a","Ppp2r1a","Ppp2r1a"
"LOC100365363","Zfp160","Zfp160"
"Zfp53","Zfp53","Zfp53"
"Zfp52","Zfp52","Zfp52"
"LOC102550851","Zfp948","Zfp948"
"LOC102555377","Zfp943","Zfp943"
"Zfp945","Zfp945","Zfp945"
"Zfp40","Zfp40","Zfp40"
"Tsen34","Tsen34","Tsen34"
"Mboat7","Mboat7","Mboat7"
"Tmc4","Tmc4","Tmc4"
"Leng1","Leng1","Leng1"
"Cnot3","Cnot3","Cnot3"
"Prpf31","Prpf31","Prpf31"
"Tfpt","Tfpt","Tfpt"
"Ndufa3","Ndufa3","Ndufa3"
"Oscar","Oscar","Oscar"
"Cacng6","Cacng6","Cacng6"
"Cacng8","Cacng8","Cacng8"
"Cacng7","Cacng7","Cacng7"
"Prkcg","Prkcg","Prkcg"
"Myadm","Myadm","Myadm"
"Nlrp12","Nlrp12","Nlrp12"
"LOC691135","9130023H24Rik","9130023H24Rik"
"Zfp772","Zfp772","Zfp772"
"Zfp773-ps1","Zfp773","Zfp773"
"Zfp954","Zfp954","Zfp954"
"Aurkc","Aurkc","Aurkc"
"Usp29","Usp29","Usp29"
"Peg3","Peg3","Peg3"
"Zim1","Zim1","Zim1"
"Smim17","Smim17","Smim17"
"Zfp583","Zfp583","Zfp583"
"Zfp667","Zfp667","Zfp667"
"Zfp444","Zfp444","Zfp444"
"Zfp787","Zfp787","Zfp787"
"Rasl2-9","Rasl2-9","Rasl2-9"
"Epn1","Epn1","Epn1"
"U2af2","U2af2","U2af2"
"Ccdc106","Ccdc106","Ccdc106"
"Zfp580","Zfp580","Zfp580"
"Zfp865","Zfp784","Zfp784"
"Fiz1","Fiz1","Fiz1"
"Zfp524","Zfp524","Zfp524"
"Zfp579","Zfp579","Zfp579"
"Sbk2","Sbk2","Sbk2"
"Ssc5d","Ssc5d","Ssc5d"
"LOC684792","Gm36210","Gm36210"
"Shisa7","Shisa7","Shisa7"
"Tmem238","Tmem238","Tmem238"
"Tmem190","Tmem190",NA
"Il11","Il11","Il11"
"Kmt5c","Kmt5c","Kmt5c"
"Tmem150b","Tmem150b","Tmem150b"
"Brsk1","Brsk1","Brsk1"
"Hspbp1","Hspbp1","Hspbp1"
"Ptprh","Ptprh","Ptprh"
"Syt5","Syt5","Syt5"
"Dnaaf3","Dnaaf3","Dnaaf3"
"Tnni3","Tnni3","Tnni3"
"Tnnt1","Tnnt1","Tnnt1"
"Ppp1r12c","Ppp1r12c","Ppp1r12c"
"Eps8l1","Eps8l1","Eps8l1"
"Rdh13","Rdh13","Rdh13"
"Gp6","Gp6","Gp6"
"Lilra5","Lilra5",NA
"Leng8","Leng8","Leng8"
"Ttyh1","Ttyh1","Ttyh1"
"Lair1","Lair1","Lair1"
"Vom1r47","Vmn1r81","Vmn1r81"
"LOC108348146","Vmn1r83",NA
"Zfp551","Zfp551","Zfp551"
"Zfp606","Zfp606","Zfp606"
"Zscan18","Zscan18","Zscan18"
"Zfp329","Zfp329","Zfp329"
"Znf8","Zfp128","Zfp128"
"Zscan22","Zscan22","Zscan22"
"Rps5","Rps5","Rps5"
"Rnf225","Rnf225","Rnf225"
"Zfp324","Zfp324","Zfp324"
"Zfp446","Zfp446","Zfp446"
"Slc27a5","Slc27a5","Slc27a5"
"Zbtb45","Zbtb45","Zbtb45"
"Trim28","Trim28","Trim28"
"Chmp2a","Chmp2a","Chmp2a"
"Ube2m","Ube2m","Ube2m"
"Mzf1","Mzf1","Mzf1"
"LOC100365062","Eif3e","Eif3e"
"Zswim9","Zswim9","Zswim9"
"Lig1","Lig1","Lig1"
"Nop53","Nop53","Nop53"
"Ehd2","Ehd2","Ehd2"
"Bicra","Bicra","Bicra"
"Zfp541","Zfp541","Zfp541"
"Napa","Napa","Napa"
"Slc8a2","Slc8a2","Slc8a2"
"Meis3","Meis3","Meis3"
"Dhx34","Dhx34","Dhx34"
"C5ar2","C5ar2","C5ar2"
"Bbc3","Bbc3","Bbc3"
"Sae1","Sae1","Sae1"
"Zc3h4","Zc3h4","Zc3h4"
"Tmem160","Tmem160","Tmem160"
"Npas1","Npas1","Npas1"
"Arhgap35","Arhgap35","Arhgap35"
"LOC108349752","Ceacam15","Ceacam15"
"Ceacam9","Ceacam9","Ceacam9"
"Ap2s1","Ap2s1","Ap2s1"
"Slc1a5","Slc1a5","Slc1a5"
"Fkrp","Fkrp","Fkrp"
"Strn4","Strn4","Strn4"
"Prkd2","Prkd2","Prkd2"
"Dact3","Dact3","Dact3"
"Gng8","Gng8","Gng8"
"Pnma8b","Pnma8b","Pnma8b"
"Pnma8a","Pnma8a","Pnma8a"
"Pnma8c","Pnma8c","Pnma8c"
"Ccdc8","Ccdc8","Ccdc8"
"Ppp5c","Ppp5c","Ppp5c"
"Hif3a","Hif3a","Hif3a"
"Cgm4","Psg16",NA
"Mill1","Mill1","Mill1"
"Pglyrp1","Pglyrp1","Pglyrp1"
"Ccdc61","Ccdc61","Ccdc61"
"Nova2","Nova2","Nova2"
"Nanos2","Nanos2",NA
"Mypop","Mypop","Mypop"
"Irf2bp1","Irf2bp1","Irf2bp1"
"Foxa3","Foxa3","Foxa3"
"Sympk","Sympk","Sympk"
"Rsph6a","Rsph6a","Rsph6a"
"Dmwd","Dmwd","Dmwd"
"Dmpk","Dmpk","Dmpk"
"Six5","Six5","Six5"
"Meiosin","Meiosin","Meiosin"
"Fbxo46","Fbxo46","Fbxo46"
"Qpctl","Qpctl","Qpctl"
"Snrpd2","Snrpd2","Snrpd2"
"Gipr","Gipr","Gipr"
"Eml2","Eml2","Eml2"
"Gpr4","Gpr4","Gpr4"
"Opa3","Opa3","Opa3"
"Vasp","Vasp","Vasp"
"Ppm1n","Ppm1n","Ppm1n"
"Rtn2","Rtn2","Rtn2"
"Fosb","Fosb","Fosb"
"Ercc1","Ercc1","Ercc1"
"Polr1g","Polr1g","Polr1g"
"Ppp1r13l","Ppp1r13l","Ppp1r13l"
"Ercc2","Ercc2","Ercc2"
"Klc3","Klc3","Klc3"
"Mark4","Mark4","Mark4"
"Exoc3l2","Exoc3l2","Exoc3l2"
"Bloc1s3","Bloc1s3","Bloc1s3"
"Trappc6a","Trappc6a","Trappc6a"
"Nkpd1","Nkpd1","Nkpd1"
"Ppp1r37","Ppp1r37","Ppp1r37"
"Zfp296","Zfp296","Zfp296"
"Clasrp","Clasrp","Clasrp"
"Relb","Relb","Relb"
"Clptm1","Clptm1","Clptm1"
"Apoc2","Apoc2","Apoc2"
"Apoc4","Apoc4","Apoc4"
"Apoe","Apoe","Apoe"
"Tomm40","Tomm40","Tomm40"
"Nectin2","Nectin2","Nectin2"
"Bcam","Bcam","Bcam"
"Cblc","Cblc","Cblc"
"Bcl3","Bcl3","Bcl3"
"Ceacam16","Ceacam16","Ceacam16"
"Pvr","Pvr","Pvr"
"Igsf23","Igsf23",NA
"Zfp180","Zfp180","Zfp180"
"Zfp112","Zfp112","Zfp112"
"Zfp111","Zfp111","Zfp111"
"Tescl","Tescl","Tescl"
"Lypd5","Lypd5","Lypd5"
"Kcnn4","Kcnn4","Kcnn4"
"Smg9","Smg9","Smg9"
"Irgc","Irgc1","Irgc1"
"Plaur","Plaur","Plaur"
"Cadm4","Cadm4","Cadm4"
"Zfp428","Zfp428","Zfp428"
"Irgq","Irgq","Irgq"
"Pinlyp","Pinlyp","Pinlyp"
"Xrcc1","Xrcc1","Xrcc1"
"Zfp575","Zfp575","Zfp575"
"Ethe1","Ethe1","Ethe1"
"Phldb3","Phldb3","Phldb3"
"Lypd3","Lypd3","Lypd3"
"Tex101","Tex101",NA
"Cd177","Cd177","Cd177"
"Lypd4","Lypd4",NA
"Dmrtc2","Dmrtc2",NA
"Cd79a","Cd79a","Cd79a"
"Arhgef1","Arhgef1","Arhgef1"
"Rabac1","Rabac1","Rabac1"
"Atp1a3","Atp1a3","Atp1a3"
"Grik5","Grik5","Grik5"
"Zfp574","Zfp574","Zfp574"
"Pou2f2","Pou2f2","Pou2f2"
"Dedd2","Dedd2","Dedd2"
"Zfp526","Zfp526","Zfp526"
"Gsk3a","Gsk3a","Gsk3a"
"Erf","Erf","Erf"
"Cic","Cic","Cic"
"Pafah1b3","Pafah1b3","Pafah1b3"
"Prr19","Prr19","Prr19"
"Tmem145","Tmem145","Tmem145"
"Megf8","Megf8","Megf8"
"Cnfn","Cnfn","Cnfn"
"Lipe","Lipe","Lipe"
"Cxcl17","Cxcl17","Cxcl17"
"Erich4","Erich4",NA
"Dmac2","Dmac2","Dmac2"
"B3gnt8","B3gnt8","B3gnt8"
"Bckdha","Bckdha","Bckdha"
"Exosc5","Exosc5","Exosc5"
"Tmem91","Tmem91","Tmem91"
"B9d2","B9d2","B9d2"
"Tgfb1","Tgfb1","Tgfb1"
"Ccdc97","Ccdc97","Ccdc97"
"Hnrnpul1","Hnrnpul1","Hnrnpul1"
"Axl","Axl","Axl"
"Cyp2s1","Cyp2s1","Cyp2s1"
"Cyp2f4","Cyp2f2",NA
"Cyp2t1","Cyp2t4","Cyp2t4"
"Egln2","Egln2","Egln2"
"Rab4b","Rab4b","Rab4b"
"Mia","Mia","Mia"
"Snrpa","Snrpa","Snrpa"
"RGD1560854","Actmap","Actmap"
"Itpkc","Itpkc","Itpkc"
"Coq8b","Coq8b","Coq8b"
"Numbl","Numbl","Numbl"
"Ltbp4","Ltbp4","Ltbp4"
"Shkbp1","Shkbp1","Shkbp1"
"Sptbn4","Sptbn4","Sptbn4"
"Blvrb","Blvrb","Blvrb"
"Sertad3","Sertad3","Sertad3"
"Sertad1","Sertad1","Sertad1"
"Prx","Prx","Prx"
"Hipk4","Hipk4","Hipk4"
"Pld3","Pld3","Pld3"
"RGD1307554","2310022A10Rik","2310022A10Rik"
"Akt2","Akt2","Akt2"
"Ttc9b","Ttc9b","Ttc9b"
"Map3k10","Map3k10","Map3k10"
"LOC100910046","Zfp60","Zfp60"
"LOC102553760","Zfp59","Zfp59"
"Zfp780b-ps1","Zfp780b","Zfp780b"
"Zfp59","Zfp850","Zfp850"
"Psmc4","Psmc4","Psmc4"
"Fcgbp","Fcgbp","Fcgbp"
"Fcgbpl1","Fcgbpl1","Fcgbpl1"
"Fbl","Fbl","Fbl"
"Dyrk1b","Dyrk1b","Dyrk1b"
"Selenov","Selenov","Selenov"
"Dll3","Dll3","Dll3"
"Timm50","Timm50","Timm50"
"Supt5h","Supt5","Supt5"
"Plekhg2","Plekhg2","Plekhg2"
"Zfp36","Zfp36","Zfp36"
"Med29","Med29","Med29"
"Paf1","Paf1","Paf1"
"Samd4b","Samd4b","Samd4b"
"Gmfg","Gmfg","Gmfg"
"Lrfn1","Lrfn1","Lrfn1"
"Sycn","Sycn","Sycn"
"Nccrp1","Nccrp1","Nccrp1"
"Pak4","Pak4","Pak4"
"Acp7","Acp7",NA
"Fbxo27","Fbxo27","Fbxo27"
"Fbxo17","Fbxo17","Fbxo17"
"Mrps12","Mrps12","Mrps12"
"Sars2","Sars2","Sars2"
"Ccer2","Ccer2","Ccer2"
"Nfkbib","Nfkbib","Nfkbib"
"Sirt2","Sirt2","Sirt2"
"Rinl","Rinl","Rinl"
"Hnrnpl","Hnrnpl","Hnrnpl"
"Ech1","Ech1","Ech1"
"Lgals4","Lgals4",NA
"Lgals7","Lgals7","Lgals7"
"Capn12","Capn12","Capn12"
"Actn4","Actn4","Actn4"
"Eif3k","Eif3k","Eif3k"
"Map4k1","Map4k1","Map4k1"
"Ryr1","Ryr1","Ryr1"
"Rasgrp4","Rasgrp4","Rasgrp4"
"Fam98c","Fam98c","Fam98c"
"Spred3","Spred3","Spred3"
"Ggn","Ggn","Ggn"
"Psmd8","Psmd8","Psmd8"
"Kcnk6","Kcnk6","Kcnk6"
"Yif1b","Yif1b","Yif1b"
"Spint2","Spint2","Spint2"
"Ppp1r14a","Ppp1r14a","Ppp1r14a"
"Dpf1","Dpf1","Dpf1"
"Sipa1l3","Sipa1l3","Sipa1l3"
"LOC102547413","Zfp790","Zfp790"
"LOC100912787","Zfp940","Zfp940"
"Zfp27","Zfp27","Zfp27"
"Zfp74","Zfp74","Zfp74"
"LOC108348102","Zfp568","Zfp568"
"Zfp14","Zfp14","Zfp14"
"Zfp82","Zfp82","Zfp82"
"Zfp566","Zfp566","Zfp566"
"Zfp260","Zfp260","Zfp260"
"Zfp382","Zfp382","Zfp382"
"Capns1","Capns1","Capns1"
"Tbcb","Tbcb","Tbcb"
"Ovol3","Ovol3",NA
"Wdr62","Wdr62","Wdr62"
"Clip3","Clip3","Clip3"
"Alkbh6","Alkbh6","Alkbh6"
"Syne4","Syne4","Syne4"
"Sdhaf1","Sdhaf1","Sdhaf1"
"Lrfn3","Lrfn3","Lrfn3"
"Tyrobp","Tyrobp","Tyrobp"
"Hcst","Hcst","Hcst"
"Nfkbid","Nfkbid","Nfkbid"
"Aplp1","Aplp1","Aplp1"
"Kirrel2","Kirrel2","Kirrel2"
"Nphs1","Nphs1","Nphs1"
"Prodh2","Prodh2","Prodh2"
"Arhgap33","Arhgap33","Arhgap33"
"Proser3","Proser3","Proser3"
"Hspb6","Hspb6","Hspb6"
"Lin37","Lin37","Lin37"
"Psenen","Psenen","Psenen"
"U2af1l4","U2af1l4","U2af1l4"
"Igflr1","Igflr1","Igflr1"
"Kmt2b","Kmt2b","Kmt2b"
"Upk1a","Upk1a","Upk1a"
"Cox6b1","Cox6b1","Cox6b1"
"Etv2","Etv2",NA
"Rbm42","Rbm42","Rbm42"
"Haus5","Haus5","Haus5"
"Atp4a","Atp4a","Atp4a"
"Tmem147","Tmem147","Tmem147"
"Gapdhs","Gapdhs","Gapdhs"
"Sbsn","Sbsn","Sbsn"
"Dmkn","Dmkn","Dmkn"
"Cd22","Cd22","Cd22"
"Mag","Mag","Mag"
"Hamp","Hamp","Hamp"
"Usf2","Usf2","Usf2"
"Lsr","Lsr","Lsr"
"Fam187b","Fam187b","Fam187b"
"Fxyd5","Fxyd7","Fxyd7"
"Fxyd1","Fxyd1","Fxyd1"
"Lgi4","Lgi4","Lgi4"
"Hpn","Hpn","Hpn"
"Scn1b","Scn1b","Scn1b"
"Gramd1a","Gramd1a","Gramd1a"
"Wtip","Wtip","Wtip"
"Uba2","Uba2","Uba2"
"Pdcd2l","Pdcd2l","Pdcd2l"
"Gpi","Gpi1","Gpi1"
"Garre1","Garre1","Garre1"
"Lsm14a","Lsm14a","Lsm14a"
"Kctd15","Kctd15","Kctd15"
"Pepd","Pepd","Pepd"
"Cebpg","Cebpg","Cebpg"
"Slc7a10","Slc7a10","Slc7a10"
"Lrp3","Lrp3","Lrp3"
"Gpatch1","Gpatch1","Gpatch1"
"Rhpn2","Rhpn2","Rhpn2"
"Faap24","Faap24","Faap24"
"Cep89","Cep89","Cep89"
"Slc7a9","Slc7a9","Slc7a9"
"Tdrd12","Tdrd12","Tdrd12"
"Nudt19","Nudt19","Nudt19"
"Ankrd27","Ankrd27","Ankrd27"
"Dpy19l3","Dpy19l3","Dpy19l3"
"Zfp507","Zfp507","Zfp507"
"Tshz3","Tshz3","Tshz3"
"Zfp536","Zfp536","Zfp536"
"Uri1","Uri1","Uri1"
"Ccne1","Ccne1","Ccne1"
"LOC690000","1600014C10Rik","1600014C10Rik"
"Plekhf1","Plekhf1","Plekhf1"
"Pop4","Pop4","Pop4"
"LOC365238","Fam32a","Fam32a"
"LOC102548231","Zfp619","Zfp619"
"Vstm2b","Vstm2b","Vstm2b"
"Zfp141","2610021A01Rik","2610021A01Rik"
"Siglec5","Siglecf","Siglecf"
"Siglec10","Siglecg","Siglecg"
"C1H19orf84","Gm38999",NA
"Lim2","Lim2","Lim2"
"Nkg7","Nkg7","Nkg7"
"Cldnd2","Cldnd2","Cldnd2"
"Etfb","Etfb","Etfb"
"Vsig10l","Vsig10l","Vsig10l"
"Iglon5","Iglon5","Iglon5"
"Cd33","Cd33","Cd33"
"Siglec8","Siglece",NA
"Ctu1","Ctu1","Ctu1"
"Klk8","Klk8","Klk8"
"Klk7","Klk7","Klk7"
"Klk6","Klk6","Klk6"
"LOC102552731","1700028J19Rik","1700028J19Rik"
"Fv1","2410002F23Rik","2410002F23Rik"
"Acp4","Acp4","Acp4"
"Clec11a","Clec11a","Clec11a"
"Shank1","Shank1","Shank1"
"Syt3","Syt3","Syt3"
"Lrrc4b","Lrrc4b","Lrrc4b"
"Aspdh","Aspdh","Aspdh"
"Josd2","Josd2","Josd2"
"Emc10","Emc10","Emc10"
"Mybpc2","Mybpc2","Mybpc2"
"Spib","Spib","Spib"
"Pold1","Pold1","Pold1"
"Nr1h2","Nr1h2","Nr1h2"
"Napsa","Napsa","Napsa"
"Kcnc3","Kcnc3","Kcnc3"
"Myh14","Myh14","Myh14"
"Zfp473","Zfp473","Zfp473"
"Vrk3","Vrk3","Vrk3"
"Atf5","Atf5","Atf5"
"Nup62","Nup62","Nup62"
"Il4i1","Il4i1","Il4i1"
"Tbc1d17","Tbc1d17","Tbc1d17"
"Akt1s1","Akt1s1","Akt1s1"
"Pnkp","Pnkp","Pnkp"
"Ptov1","Ptov1","Ptov1"
"Med25","Med25","Med25"
"Fuz","Fuz","Fuz"
"Ap2a1","Ap2a1","Ap2a1"
"Tsks","Tsks","Tsks"
"Cpt1c","Cpt1c","Cpt1c"
"Bcl2l12","Bcl2l12","Bcl2l12"
"Irf3","Irf3","Irf3"
"Scaf1","Scaf1","Scaf1"
"Rras","Rras","Rras"
"Prr12","Prr12","Prr12"
"Prrg2","Prrg2","Prrg2"
"Nosip","Nosip","Nosip"
"Rcn3","Rcn3","Rcn3"
"Fcgrt","Fcgrt","Fcgrt"
"LOC120100339","Snord32a",NA
"Aldh16a1","Aldh16a1","Aldh16a1"
"Pih1d1","Pih1d1","Pih1d1"
"Slc17a7","Slc17a7","Slc17a7"
"Gfy","Gfy","Gfy"
"Kash5","Kash5","Kash5"
"Dkkl1","Dkkl1","Dkkl1"
"Tead2","Tead2","Tead2"
"Cd37","Cd37","Cd37"
"Slc6a16","Slc6a16",NA
"RGD1562492","Slc6a21",NA
"Trpm4","Trpm4","Trpm4"
"Hrc","Hrc","Hrc"
"Ppfia3","Ppfia3","Ppfia3"
"Lin7b","Lin7b","Lin7b"
"Ntf4","Ntf5","Ntf5"
"Lhb","Lhb","Lhb"
"Ruvbl2","Ruvbl2","Ruvbl2"
"Gys1","Gys1","Gys1"
"Dhdh","Dhdh","Dhdh"
"Tulp2","Tulp2","Tulp2"
"Nucb1","Nucb1","Nucb1"
"Ppp1r15a","Ppp1r15a","Ppp1r15a"
"Plekha4","Plekha4","Plekha4"
"Bcat2","Bcat2","Bcat2"
"Fgf21","Fgf21","Fgf21"
"Fut1","Fut1","Fut1"
"Rasip1","Rasip1","Rasip1"
"Mamstr","Mamstr","Mamstr"
"Fut2","Fut2","Fut2"
"Sec1","Sec1","Sec1"
"Ntn5","Ntn5","Ntn5"
"Dbp","Dbp","Dbp"
"Sphk2","Sphk2","Sphk2"
"Rpl18","Rpl18","Rpl18"
"Fam83e","Fam83e","Fam83e"
"Spaca4","Spaca4",NA
"Sult2b1","Sult2b1","Sult2b1"
"Lmtk3","Lmtk3","Lmtk3"
"Cyth2","Cyth2","Cyth2"
"Kcnj14","Kcnj14","Kcnj14"
"Grwd1","Grwd1","Grwd1"
"Grin2d","Grin2d","Grin2d"
"Kdelr1","Kdelr1","Kdelr1"
"Syngr4","Syngr4","Syngr4"
