"input_gene","RNA_assay","SCT_assay"
"Ptprk","PTPRK","PTPRK"
"Lama2","LAMA2","LAMA2"
"Arhgap18","ARHGAP18","ARHGAP18"
"L3mbtl3","L3MBTL3","L3MBTL3"
"Samd3","SAMD3",NA
"Tmem200a","TMEM200A","TMEM200A"
"Epb41l2","EPB41L2","EPB41L2"
"Akap7","AKAP7","AKAP7"
"Arg1","ARG1","ARG1"
"Med23","MED23","MED23"
"Enpp3","ENPP3","ENPP3"
"Enpp1","ENPP1","ENPP1"
"Ccn2","CCN2","CCN2"
"Moxd1","MOXD1","MOXD1"
"Stx7","STX7","STX7"
"Vnn1","VNN1","VNN1"
"Slc18b1","SLC18B1","SLC18B1"
"Eya4","EYA4","EYA4"
"Tcf21","TCF21","TCF21"
"Tbpl1","TBPL1","TBPL1"
"Slc2a12","SLC2A12","SLC2A12"
"Sgk1","SGK1","SGK1"
"Clvs2","CLVS2","CLVS2"
"Trdn","TRDN","TRDN"
"Nkain2","NKAIN2","NKAIN2"
"Rnf217","RNF217","RNF217"
"Tpd52l1","TPD52L1","TPD52L1"
"Hddc2","HDDC2","HDDC2"
"Hey2","HEY2","HEY2"
"Ncoa7","NCOA7","NCOA7"
"Hint3","HINT3","HINT3"
"Trmt11","TRMT11","TRMT11"
"Cenpw","CENPW","CENPW"
"Rspo3","RSPO3","RSPO3"
"Rnf146","RNF146","RNF146"
"Echdc1","ECHDC1","ECHDC1"
"Kiaa0408L","KIAA0408","KIAA0408"
"Soga3","SOGA3","SOGA3"
"Lrrc14b","LRRC14B","LRRC14B"
"Ccdc127","CCDC127","CCDC127"
"Sdha","SDHA","SDHA"
"Pdcd6","PDCD6","PDCD6"
"Ahrr","AHRR","AHRR"
"Exoc3","EXOC3","EXOC3"
"Slc9a3","SLC9A3","SLC9A3"
"Cep72","CEP72","CEP72"
"Tppp","TPPP","TPPP"
"Brd9","BRD9","BRD9"
"Trip13","TRIP13","TRIP13"
"Nkd2","NKD2","NKD2"
"Slc12a7","SLC12A7","SLC12A7"
"Tert","TERT","TERT"
"Clptm1l","CLPTM1L","CLPTM1L"
"Lpcat1","LPCAT1","LPCAT1"
"Mrpl36","MRPL36","MRPL36"
"Irx4","IRX4","IRX4"
"Irx2","IRX2","IRX2"
"Irx1","IRX1","IRX1"
"Adamts16","ADAMTS16","ADAMTS16"
"Ice1","ICE1","ICE1"
"Med10","MED10","MED10"
"Ube2ql1","UBE2QL1","UBE2QL1"
"Nsun2","NSUN2","NSUN2"
"Srd5a1","SRD5A1","SRD5A1"
"Tent4a","TENT4A","TENT4A"
"Adcy2","ADCY2","ADCY2"
"RGD1308544","CFAP90","CFAP90"
"Fastkd3","FASTKD3","FASTKD3"
"Mtrr","MTRR","MTRR"
"Ppp1r14c","PPP1R14C","PPP1R14C"
"Iyd","IYD","IYD"
"Plekhg1","PLEKHG1","PLEKHG1"
"Mthfd1l","MTHFD1L","MTHFD1L"
"Akap12","AKAP12","AKAP12"
"Zbtb2","ZBTB2","ZBTB2"
"Rmnd1","RMND1","RMND1"
"Armt1","ARMT1","ARMT1"
"Ccdc170","CCDC170","CCDC170"
"Esr1","ESR1","ESR1"
"Syne1","SYNE1","SYNE1"
"Myct1","MYCT1","MYCT1"
"Vip","VIP","VIP"
"Fbxo5","FBXO5","FBXO5"
"Mtrf1l","MTRF1L","MTRF1L"
"Rgs17","RGS17","RGS17"
"Oprm1","OPRM1","OPRM1"
"Ipcef1","IPCEF1","IPCEF1"
"Cnksr3","CNKSR3","CNKSR3"
"Scaf8","SCAF8","SCAF8"
"Tiam2","TIAM2","TIAM2"
"Tfb1m","TFB1M","TFB1M"
"Nox3","NOX3","NOX3"
"Arid1b","ARID1B","ARID1B"
"Tmem242","TMEM242","TMEM242"
"Zdhhc14","ZDHHC14","ZDHHC14"
"Snx9","SNX9","SNX9"
"Synj2","SYNJ2","SYNJ2"
"Serac1","SERAC1","SERAC1"
"Gtf2h5","GTF2H5","GTF2H5"
"Tulp4","TULP4","TULP4"
"Tmem181","TMEM181","TMEM181"
"Dynlt1","DYNLT1","DYNLT1"
"Sytl3","SYTL3","SYTL3"
"Ezr","EZR","EZR"
"Rsph3","RSPH3","RSPH3"
"Tagap","TAGAP","TAGAP"
"Fndc1","FNDC1","FNDC1"
"Sod2","SOD2","SOD2"
"Wtap","WTAP","WTAP"
"Tcp1","TCP1","TCP1"
"Mrpl18","MRPL18","MRPL18"
"Pnldc1","PNLDC1","PNLDC1"
"Mas1","MAS1","MAS1"
"Igf2r","IGF2R","IGF2R"
"Slc22a1","SLC22A1","SLC22A1"
"Slc22a2","SLC22A2","SLC22A2"
"Slc22a3","SLC22A3","SLC22A3"
"Plg","PLG","PLG"
"Map3k4","MAP3K4","MAP3K4"
"Agpat4","AGPAT4","AGPAT4"
"Prkn","PRKN","PRKN"
"Pacrg","PACRG","PACRG"
"MGC94891","C6orf118","C6orf118"
"Pde10a","PDE10A","PDE10A"
"Tbxt","TBXT","TBXT"
"Prr18","PRR18","PRR18"
"Sft2d1","SFT2D1","SFT2D1"
"Mpc1","MPC1","MPC1"
"Ccr6","CCR6","CCR6"
"Cep43","CEP43","CEP43"
"Rnaset2","RNASET2","RNASET2"
"Rps6ka2","RPS6KA2","RPS6KA2"
"Ttll2","TTLL2","TTLL2"
"Unc93a","UNC93A","UNC93A"
"Afdn","AFDN","AFDN"
"Dact2","DACT2","DACT2"
"Smoc2","SMOC2","SMOC2"
"Thbs2","THBS2","THBS2"
"Wdr27","WDR27","WDR27"
"LOC100125364","C6orf120","C6orf120"
"Phf10","PHF10","PHF10"
"Dynlt2","DYNLT2","DYNLT2"
"Ermard","ERMARD","ERMARD"
"Dll1","DLL1","DLL1"
"Fam120b","FAM120B","FAM120B"
"Psmb1","PSMB1","PSMB1"
"Tbp","TBP","TBP"
"Pdcd2","PDCD2","PDCD2"
"Prdm9","PRDM7","PRDM7"
"Chd1","CHD1","CHD1"
"Rgmb","RGMB","RGMB"
"Riok2","RIOK2","RIOK2"
"Lix1","LIX1","LIX1"
"Lnpep","LNPEP","LNPEP"
"Spaca6","SPACA6","SPACA6"
"Has1","HAS1","HAS1"
"Ppp2r1a","PPP2R1A","PPP2R1A"
"Tsen34","TSEN34","TSEN34"
"Mboat7","MBOAT7","MBOAT7"
"Tmc4","TMC4","TMC4"
"Leng1","LENG1","LENG1"
"Cnot3","CNOT3","CNOT3"
"Prpf31","PRPF31","PRPF31"
"Tfpt","TFPT","TFPT"
"Ndufa3","NDUFA3","NDUFA3"
"Oscar","OSCAR","OSCAR"
"LOC100359972","TARM1","TARM1"
"Vstm1","VSTM1","VSTM1"
"Cacng6","CACNG6","CACNG6"
"Cacng8","CACNG8","CACNG8"
"Cacng7","CACNG7","CACNG7"
"Prkcg","PRKCG","PRKCG"
"Myadm","MYADM","MYADM"
"Nlrp12","NLRP12","NLRP12"
"Aurkc","AURKC","AURKC"
"Peg3","PEG3","PEG3"
"Smim17","SMIM17","SMIM17"
"Zfp583","ZNF583","ZNF583"
"Zfp667","ZNF667","ZNF667"
"Zfp444","ZNF444","ZNF444"
"Zfp787","ZNF787","ZNF787"
"Epn1","EPN1","EPN1"
"U2af2","U2AF2","U2AF2"
"Ccdc106","CCDC106","CCDC106"
"Zfp580","ZNF580","ZNF580"
"Zfp865","ZNF784","ZNF784"
"Fiz1","FIZ1","FIZ1"
"Zfp524","ZNF524","ZNF524"
"Zfp579","ZNF579","ZNF579"
"Sbk2","SBK2","SBK2"
"Ssc5d","SSC5D","SSC5D"
"LOC684792","C19orf85","C19orf85"
"Shisa7","SHISA7","SHISA7"
"Ube2s","UBE2S","UBE2S"
"Tmem238","TMEM238","TMEM238"
"Tmem190","TMEM190",NA
"Il11","IL11","IL11"
"Kmt5c","KMT5C","KMT5C"
"Tmem150b","TMEM150B","TMEM150B"
"Brsk1","BRSK1","BRSK1"
"Hspbp1","HSPBP1","HSPBP1"
"Ptprh","PTPRH","PTPRH"
"Syt5","SYT5","SYT5"
"Dnaaf3","DNAAF3","DNAAF3"
"Tnni3","TNNI3","TNNI3"
"Tnnt1","TNNT1","TNNT1"
"Ppp1r12c","PPP1R12C","PPP1R12C"
"Eps8l1","EPS8L1","EPS8L1"
"Rdh13","RDH13","RDH13"
"Gp6","GP6","GP6"
"Leng8","LENG8","LENG8"
"Ttyh1","TTYH1","TTYH1"
"Lair1","LAIR1","LAIR1"
"Zfp551","ZNF551","ZNF551"
"Zfp606","ZNF606","ZNF606"
"Zscan18","ZSCAN18","ZSCAN18"
"Zfp329","ZNF329","ZNF329"
"Zfp110","ZNF274","ZNF274"
"Znf8","ZNF8","ZNF8"
"Zscan22","ZSCAN22","ZSCAN22"
"Rps5","RPS5","RPS5"
"Rnf225","RNF225","RNF225"
"Zfp446","ZNF446","ZNF446"
"Slc27a5","SLC27A5","SLC27A5"
"Zbtb45","ZBTB45","ZBTB45"
"Trim28","TRIM28","TRIM28"
"Chmp2a","CHMP2A","CHMP2A"
"Ube2m","UBE2M","UBE2M"
"Mzf1","MZF1","MZF1"
"LOC100365062","EIF3E","EIF3E"
"Zswim9","ZSWIM9","ZSWIM9"
"Lig1","LIG1","LIG1"
"Nop53","NOP53","NOP53"
"Ehd2","EHD2","EHD2"
"Bicra","BICRA","BICRA"
"Zfp541","ZNF541","ZNF541"
"Napa","NAPA","NAPA"
"Slc8a2","SLC8A2","SLC8A2"
"Meis3","MEIS3","MEIS3"
"Dhx34","DHX34","DHX34"
"C5ar2","C5AR2","C5AR2"
"Bbc3","BBC3","BBC3"
"Sae1","SAE1","SAE1"
"Zc3h4","ZC3H4","ZC3H4"
"Tmem160","TMEM160","TMEM160"
"Npas1","NPAS1","NPAS1"
"Arhgap35","ARHGAP35","ARHGAP35"
"Ap2s1","AP2S1","AP2S1"
"Slc1a5","SLC1A5","SLC1A5"
"Fkrp","FKRP","FKRP"
"Strn4","STRN4","STRN4"
"Prkd2","PRKD2","PRKD2"
"Dact3","DACT3","DACT3"
"Gng8","GNG8","GNG8"
"Pnma8b","PNMA8B","PNMA8B"
"Pnma8a","PNMA8A","PNMA8A"
"Pnma8c","PNMA8C","PNMA8C"
"Ccdc8","CCDC8","CCDC8"
"Ppp5c","PPP5C","PPP5C"
"Hif3a","HIF3A","HIF3A"
"Pglyrp1","PGLYRP1","PGLYRP1"
"Ccdc61","CCDC61","CCDC61"
"Nova2","NOVA2","NOVA2"
"Nanos2","NANOS2",NA
"Mypop","MYPOP","MYPOP"
"Irf2bp1","IRF2BP1","IRF2BP1"
"Foxa3","FOXA3","FOXA3"
"Sympk","SYMPK","SYMPK"
"Rsph6a","RSPH6A","RSPH6A"
"Dmwd","DMWD","DMWD"
"Dmpk","DMPK","DMPK"
"Six5","SIX5","SIX5"
"Meiosin","MEIOSIN","MEIOSIN"
"Fbxo46","FBXO46","FBXO46"
"Qpctl","QPCTL","QPCTL"
"Gipr","GIPR","GIPR"
"Eml2","EML2","EML2"
"Gpr4","GPR4","GPR4"
"Opa3","OPA3","OPA3"
"Vasp","VASP","VASP"
"Ppm1n","PPM1N","PPM1N"
"Rtn2","RTN2","RTN2"
"Fosb","FOSB","FOSB"
"Ercc1","ERCC1","ERCC1"
"Polr1g","POLR1G","POLR1G"
"Ppp1r13l","PPP1R13L","PPP1R13L"
"Ercc2","ERCC2","ERCC2"
"Klc3","KLC3","KLC3"
"Mark4","MARK4","MARK4"
"Exoc3l2","EXOC3L2","EXOC3L2"
"Bloc1s3","BLOC1S3","BLOC1S3"
"Trappc6a","TRAPPC6A","TRAPPC6A"
"Nkpd1","NKPD1","NKPD1"
"Ppp1r37","PPP1R37","PPP1R37"
"Zfp296","ZNF296","ZNF296"
"Clasrp","CLASRP","CLASRP"
"Relb","RELB","RELB"
"Clptm1","CLPTM1","CLPTM1"
"Apoc2","APOC2","APOC2"
"Apoc4","APOC4","APOC4"
"Apoe","APOE","APOE"
"Tomm40","TOMM40","TOMM40"
"Nectin2","NECTIN2","NECTIN2"
"Bcam","BCAM","BCAM"
"Cblc","CBLC","CBLC"
"Bcl3","BCL3","BCL3"
"Ceacam16","CEACAM16","CEACAM16"
"Pvr","PVR","PVR"
"Igsf23","IGSF23",NA
"Zfp180","ZNF180","ZNF180"
"Zfp112","ZNF112","ZNF112"
"Tescl","TESC","TESC"
"Lypd5","LYPD5","LYPD5"
"Kcnn4","KCNN4","KCNN4"
"Smg9","SMG9","SMG9"
"Irgc","IRGC","IRGC"
"Plaur","PLAUR","PLAUR"
"Cadm4","CADM4","CADM4"
"Zfp428","ZNF428","ZNF428"
"Irgq","IRGQ","IRGQ"
"Pinlyp","PINLYP","PINLYP"
"Xrcc1","XRCC1","XRCC1"
"Zfp575","ZNF575","ZNF575"
"Ethe1","ETHE1","ETHE1"
"Phldb3","PHLDB3","PHLDB3"
"Lypd3","LYPD3","LYPD3"
"Tex101","TEX101",NA
"Cd177","CD177","CD177"
"Lypd4","LYPD4",NA
"Dmrtc2","DMRTC2",NA
"Cd79a","CD79A","CD79A"
"Arhgef1","ARHGEF1","ARHGEF1"
"Rabac1","RABAC1","RABAC1"
"Atp1a3","ATP1A3","ATP1A3"
"Grik5","GRIK5","GRIK5"
"Zfp574","ZNF574","ZNF574"
"Pou2f2","POU2F2","POU2F2"
"Dedd2","DEDD2","DEDD2"
"Zfp526","ZNF526","ZNF526"
"Gsk3a","GSK3A","GSK3A"
"Erf","ERF","ERF"
"Cic","CIC","CIC"
"Pafah1b3","PAFAH1B3","PAFAH1B3"
"Prr19","PRR19","PRR19"
"Tmem145","TMEM145","TMEM145"
"Megf8","MEGF8","MEGF8"
"Cnfn","CNFN","CNFN"
"Lipe","LIPE","LIPE"
"Cxcl17","CXCL17","CXCL17"
"Erich4","ERICH4",NA
"Dmac2","DMAC2","DMAC2"
"B3gnt8","B3GNT8","B3GNT8"
"Bckdha","BCKDHA","BCKDHA"
"Exosc5","EXOSC5","EXOSC5"
"Tmem91","TMEM91","TMEM91"
"B9d2","B9D2","B9D2"
"Tgfb1","TGFB1","TGFB1"
"Ccdc97","CCDC97","CCDC97"
"Hnrnpul1","HNRNPUL1","HNRNPUL1"
"Axl","AXL","AXL"
"Cyp2s1","CYP2S1","CYP2S1"
"Cyp2f4","CYP2F1",NA
"Egln2","EGLN2","EGLN2"
"Rab4b","RAB4B","RAB4B"
"Mia","MIA","MIA"
"Snrpa","SNRPA","SNRPA"
"RGD1560854","ACTMAP","ACTMAP"
"Itpkc","ITPKC","ITPKC"
"Coq8b","COQ8B","COQ8B"
"Numbl","NUMBL","NUMBL"
"Ltbp4","LTBP4","LTBP4"
"Shkbp1","SHKBP1","SHKBP1"
"Sptbn4","SPTBN4","SPTBN4"
"Blvrb","BLVRB","BLVRB"
"Sertad3","SERTAD3","SERTAD3"
"Sertad1","SERTAD1","SERTAD1"
"Prx","PRX","PRX"
"Hipk4","HIPK4","HIPK4"
"Pld3","PLD3","PLD3"
"RGD1307554","C19orf47","C19orf47"
"Akt2","AKT2","AKT2"
"Ttc9b","TTC9B","TTC9B"
"Map3k10","MAP3K10","MAP3K10"
"Psmc4","PSMC4","PSMC4"
"Fbl","FBL","FBL"
"Dyrk1b","DYRK1B","DYRK1B"
"Selenov","SELENOV","SELENOV"
"Dll3","DLL3","DLL3"
"Timm50","TIMM50","TIMM50"
"Supt5h","SUPT5H","SUPT5H"
"Plekhg2","PLEKHG2","PLEKHG2"
"Zfp36","ZFP36","ZFP36"
"Med29","MED29","MED29"
"Paf1","PAF1","PAF1"
"Samd4b","SAMD4B","SAMD4B"
"Gmfg","GMFG","GMFG"
"Lrfn1","LRFN1","LRFN1"
"Sycn","SYCN","SYCN"
"Nccrp1","NCCRP1","NCCRP1"
"Pak4","PAK4","PAK4"
"Acp7","ACP7",NA
"Fbxo27","FBXO27","FBXO27"
"Fbxo17","FBXO17","FBXO17"
"Mrps12","MRPS12","MRPS12"
"Sars2","SARS2","SARS2"
"Ccer2","CCER2","CCER2"
"Nfkbib","NFKBIB","NFKBIB"
"Sirt2","SIRT2","SIRT2"
"Rinl","RINL","RINL"
"Hnrnpl","HNRNPL","HNRNPL"
"Ech1","ECH1","ECH1"
"Lgals4","LGALS4",NA
"Capn12","CAPN12","CAPN12"
"Actn4","ACTN4","ACTN4"
"Eif3k","EIF3K","EIF3K"
"Map4k1","MAP4K1","MAP4K1"
"Ryr1","RYR1","RYR1"
"Rasgrp4","RASGRP4","RASGRP4"
"Fam98c","FAM98C","FAM98C"
"Spred3","SPRED3","SPRED3"
"Ggn","GGN","GGN"
"Catsperg","CATSPERG","CATSPERG"
"Kcnk6","KCNK6","KCNK6"
"Yif1b","YIF1B","YIF1B"
"Spint2","SPINT2","SPINT2"
"Ppp1r14a","PPP1R14A","PPP1R14A"
"Dpf1","DPF1","DPF1"
"Sipa1l3","SIPA1L3","SIPA1L3"
"Zfp74","ZNF569","ZNF569"
"Zfp14","ZFP14","ZFP14"
"Zfp82","ZFP82","ZFP82"
"Zfp566","ZNF566","ZNF566"
"Zfp260","ZNF260","ZNF260"
"Zfp382","ZNF382","ZNF382"
"Capns1","CAPNS1","CAPNS1"
"Tbcb","TBCB","TBCB"
"Ovol3","OVOL3",NA
"Wdr62","WDR62","WDR62"
"Clip3","CLIP3","CLIP3"
"Alkbh6","ALKBH6","ALKBH6"
"Syne4","SYNE4","SYNE4"
"Sdhaf1","SDHAF1","SDHAF1"
"Lrfn3","LRFN3","LRFN3"
"Tyrobp","TYROBP","TYROBP"
"Hcst","HCST","HCST"
"Nfkbid","NFKBID","NFKBID"
"Aplp1","APLP1","APLP1"
"Kirrel2","KIRREL2","KIRREL2"
"Nphs1","NPHS1","NPHS1"
"Prodh2","PRODH2","PRODH2"
"Arhgap33","ARHGAP33","ARHGAP33"
"Proser3","PROSER3","PROSER3"
"Hspb6","HSPB6","HSPB6"
"Lin37","LIN37","LIN37"
"Psenen","PSENEN","PSENEN"
"U2af1l4","U2AF1L4","U2AF1L4"
"Igflr1","IGFLR1","IGFLR1"
"Kmt2b","KMT2B","KMT2B"
"Upk1a","UPK1A","UPK1A"
"Etv2","ETV2",NA
"Rbm42","RBM42","RBM42"
"Haus5","HAUS5","HAUS5"
"Atp4a","ATP4A","ATP4A"
"Tmem147","TMEM147","TMEM147"
"Gapdhs","GAPDHS","GAPDHS"
"Sbsn","SBSN","SBSN"
"Dmkn","DMKN","DMKN"
"Cd22","CD22","CD22"
"Mag","MAG","MAG"
"Hamp","HAMP","HAMP"
"Usf2","USF2","USF2"
"Lsr","LSR","LSR"
"Fam187b","FAM187B","FAM187B"
"Fxyd5","FXYD5","FXYD5"
"Fxyd1","FXYD1","FXYD1"
"Lgi4","LGI4","LGI4"
"Hpn","HPN","HPN"
"Scn1b","SCN1B","SCN1B"
"Gramd1a","GRAMD1A","GRAMD1A"
"RGD1563307","SET","SET"
"Wtip","WTIP","WTIP"
"Uba2","UBA2","UBA2"
"Pdcd2l","PDCD2L","PDCD2L"
"Gpi","GPI","GPI"
"Garre1","GARRE1","GARRE1"
"Lsm14a","LSM14A","LSM14A"
"Kctd15","KCTD15","KCTD15"
"Pepd","PEPD","PEPD"
"Cebpg","CEBPG","CEBPG"
"Slc7a10","SLC7A10","SLC7A10"
"Lrp3","LRP3","LRP3"
"Gpatch1","GPATCH1","GPATCH1"
"Rhpn2","RHPN2","RHPN2"
"Faap24","FAAP24","FAAP24"
"Cep89","CEP89","CEP89"
"Slc7a9","SLC7A9","SLC7A9"
"Tdrd12","TDRD12","TDRD12"
"Nudt19","NUDT19","NUDT19"
"Ankrd27","ANKRD27","ANKRD27"
"Pdcd5","PDCD5","PDCD5"
"Dpy19l3","DPY19L3","DPY19L3"
"Zfp507","ZNF507","ZNF507"
"Tshz3","TSHZ3","TSHZ3"
"Zfp536","ZNF536","ZNF536"
"Uri1","URI1","URI1"
"Ccne1","CCNE1","CCNE1"
"LOC690000","C19orf12","C19orf12"
"Plekhf1","PLEKHF1","PLEKHF1"
"Pop4","POP4","POP4"
"Vstm2b","VSTM2B","VSTM2B"
"C1H19orf84","C19orf84",NA
"Lim2","LIM2","LIM2"
"Nkg7","NKG7","NKG7"
"Cldnd2","CLDND2","CLDND2"
"Etfb","ETFB","ETFB"
"Vsig10l","VSIG10L","VSIG10L"
"Iglon5","IGLON5","IGLON5"
"Ctu1","CTU1","CTU1"
"Klk8","KLK8","KLK8"
"Klk7","KLK7","KLK7"
"Klk6","KLK6","KLK6"
"Acp4","ACP4","ACP4"
"Clec11a","CLEC11A","CLEC11A"
"Shank1","SHANK1","SHANK1"
"Syt3","SYT3","SYT3"
"Lrrc4b","LRRC4B","LRRC4B"
"Aspdh","ASPDH","ASPDH"
"Josd2","JOSD2","JOSD2"
"Emc10","EMC10","EMC10"
"Mybpc2","MYBPC2","MYBPC2"
"Spib","SPIB","SPIB"
"Pold1","POLD1","POLD1"
"Nr1h2","NR1H2","NR1H2"
"Napsa","NAPSA","NAPSA"
"Kcnc3","KCNC3","KCNC3"
"Myh14","MYH14","MYH14"
"Zfp473","ZNF473","ZNF473"
"Vrk3","VRK3","VRK3"
"Atf5","ATF5","ATF5"
"Nup62","NUP62","NUP62"
"Il4i1","IL4I1","IL4I1"
"Tbc1d17","TBC1D17","TBC1D17"
"Akt1s1","AKT1S1","AKT1S1"
"Pnkp","PNKP","PNKP"
"Ptov1","PTOV1","PTOV1"
"Med25","MED25","MED25"
"Fuz","FUZ","FUZ"
"Ap2a1","AP2A1","AP2A1"
"Tsks","TSKS","TSKS"
"Cpt1c","CPT1C","CPT1C"
"Bcl2l12","BCL2L12","BCL2L12"
"Irf3","IRF3","IRF3"
"Scaf1","SCAF1","SCAF1"
"Rras","RRAS","RRAS"
"Prr12","PRR12","PRR12"
"Prrg2","PRRG2","PRRG2"
"Nosip","NOSIP","NOSIP"
"Rcn3","RCN3","RCN3"
"Fcgrt","FCGRT","FCGRT"
"LOC120100339","SNORD32A",NA
"Aldh16a1","ALDH16A1","ALDH16A1"
"Pih1d1","PIH1D1","PIH1D1"
"Slc17a7","SLC17A7","SLC17A7"
"Gfy","GFY","GFY"
"Kash5","KASH5","KASH5"
"Dkkl1","DKKL1","DKKL1"
"Tead2","TEAD2","TEAD2"
"Cd37","CD37","CD37"
"Slc6a16","SLC6A16",NA
"Trpm4","TRPM4","TRPM4"
"Hrc","HRC","HRC"
"Ppfia3","PPFIA3","PPFIA3"
"Lin7b","LIN7B","LIN7B"
"Ntf4","NTF4","NTF4"
"Lhb","SAXO3","SAXO3"
"Ruvbl2","RUVBL2","RUVBL2"
"Gys1","GYS1","GYS1"
"Dhdh","DHDH","DHDH"
"Tulp2","TULP2","TULP2"
"Nucb1","NUCB1","NUCB1"
"Ppp1r15a","PPP1R15A","PPP1R15A"
"Plekha4","PLEKHA4","PLEKHA4"
"Bcat2","BCAT2","BCAT2"
"Fgf21","FGF21","FGF21"
"Fut1","FUT1","FUT1"
"Rasip1","RASIP1","RASIP1"
"Mamstr","MAMSTR","MAMSTR"
"Ntn5","NTN5","NTN5"
"Dbp","DBP","DBP"
"Sphk2","SPHK2","SPHK2"
"Rpl18","RPL18","RPL18"
"Fam83e","FAM83E","FAM83E"
"Spaca4","SPACA4",NA
"Sult2b1","SULT2B1","SULT2B1"
"Lmtk3","LMTK3","LMTK3"
"Cyth2","CYTH2","CYTH2"
"Kcnj14","KCNJ14","KCNJ14"
"Grwd1","GRWD1","GRWD1"
"Grin2d","GRIN2D","GRIN2D"
"Kdelr1","KDELR1","KDELR1"
"Syngr4","SYNGR4","SYNGR4"
"Tmem143","TMEM143","TMEM143"
"Emp3","EMP3","EMP3"
"Odad1","ODAD1","ODAD1"
"Abcc6","ABCC6","ABCC6"
"Ncr3lg1","NCR3LG1","NCR3LG1"
"Kcnj11","KCNJ11","KCNJ11"
"Abcc8","ABCC8","ABCC8"
"Ush1c","USH1C","USH1C"
"Otog","OTOG","OTOG"
"Kcnc1","KCNC1","KCNC1"
"Sergef","SERGEF","SERGEF"
"Tph1","TPH1","TPH1"
"Gtf2h1","GTF2H1","GTF2H1"
"Ldhc","LDHC",NA
"Tsg101","TSG101","TSG101"
"Uevld","UEVLD","UEVLD"
"Spty2d1","SPTY2D1","SPTY2D1"
"Tmem86a","TMEM86A","TMEM86A"
"Ptpn5","PTPN5","PTPN5"
"Zdhhc13","ZDHHC13","ZDHHC13"
"Csrp3","CSRP3","CSRP3"
"E2f8","E2F8","E2F8"
"Nav2","NAV2","NAV2"
"Htatip2","HTATIP2","HTATIP2"
"Prmt3","PRMT3","PRMT3"
"Slc6a5","SLC6A5","SLC6A5"
"Nell1","NELL1","NELL1"
"Ano5","ANO5","ANO5"
"Slc17a6","SLC17A6","SLC17A6"
"Fancf","FANCF","FANCF"
"Gas2","GAS2","GAS2"
"Svip","SVIP","SVIP"
"Luzp2","LUZP2","LUZP2"
"Tubgcp5","TUBGCP5","TUBGCP5"
"Cyfip1","CYFIP1","CYFIP1"
"Nipa2","NIPA2","NIPA2"
"Nipa1","NIPA1","NIPA1"
"Herc2","HERC2","HERC2"
"Oca2","OCA2","OCA2"
"Gabrg3","GABRG3","GABRG3"
"Gabra5","GABRA5","GABRA5"
"Gabrb3","GABRB3","GABRB3"
"Atp10a","ATP10A","ATP10A"
"Ube3a","UBE3A","UBE3A"
"Ndn","NDN","NDN"
"Magel2","MAGEL2","MAGEL2"
"Mkrn3","MKRN3","MKRN3"
"Otud7a","OTUD7A","OTUD7A"
"Klf13","KLF13","KLF13"
"Trpm1","TRPM1","TRPM1"
"Mtmr10","MTMR10","MTMR10"
"Fan1","FAN1","FAN1"
"Mphosph10","MPHOSPH10","MPHOSPH10"
